id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
14181,,No,No,0,0,Bannerghatta Road,Food Court,,"Chinese, Asian",600,Dine-out
14182,,Yes,No,4,58,BTM,Quick Bites,"Chicken Stew, Ghee Rice, Chai, Beef Biryani","Biryani, North Indian",300,Dine-out
14183,,Yes,No,3.5,7,BTM,Quick Bites,,"North Indian, South Indian",300,Dine-out
14184,,Yes,No,3.7,195,BTM,Quick Bites,"Paratha, Butter Naan, Thali, Tandoori Roti, Lassi",North Indian,400,Dine-out
14185,,Yes,No,3.5,14,BTM,Quick Bites,,Fast Food,300,Dine-out
14186,,Yes,No,3.1,177,BTM,Quick Bites,"Fish, Rasmalai, Doi Katla, Aalo Bhaja, Bhetki Paturi, Chicken Kasha, Aloo Posto","Bengali, North Indian, Chinese",500,Dine-out
14187,,Yes,No,2.7,73,BTM,Casual Dining,"Shawarma, Chicken Grill, Biryani","Chinese, North Indian",600,Dine-out
14188,,Yes,No,3,140,BTM,Casual Dining,"Dum Biryani, Chicken Biryani, Rice, Roti, Mutton Biryani","North Indian, Biryani, Andhra, Chinese",600,
14189,,Yes,No,3.3,15,Bannerghatta Road,Quick Bites,,Fast Food,350,Dine-out
14190,,No,No,3,16,Wilson Garden,Quick Bites,,"Street Food, Beverages",200,Dine-out
14191,,No,No,3.8,40,JP Nagar,Quick Bites,"Masala Dosa, Tea, Vada, Idli, Coffee",South Indian,100,Dine-out
14192,,Yes,No,3.6,47,Banashankari,Quick Bites,,"Fast Food, Italian, Beverages",500,Dine-out
14193,,Yes,No,3.6,6,Basavanagudi,Quick Bites,,"Fast Food, Rolls",300,Dine-out
14194,,No,No,3.8,191,Banashankari,Quick Bites,"Coffee, Jeera Rice, Masala Dosa, Set Dosa, Neer Dosa",South Indian,300,Dine-out
14195,,No,No,3.5,5,Bannerghatta Road,Food Court,,"North Indian, South Indian, Pizza",300,Dine-out
14196,,No,No,3.7,20,JP Nagar,Quick Bites,,South Indian,100,Dine-out
14197,,Yes,No,2.7,174,BTM,Casual Dining,,"Andhra, Chinese, Biryani",450,Dine-out
14198,,Yes,No,3.6,70,JP Nagar,Casual Dining,,"Chinese, North Indian",600,Dine-out
14199,,Yes,No,3.2,20,JP Nagar,Casual Dining,,"North Indian, South Indian, Chinese, Biryani, Mexican",700,Dine-out
14200,,Yes,No,3.9,85,JP Nagar,Quick Bites,"Thali, Dhokla, Samosa, Poha, Club Kachori, Paratha, Tea",Rajasthani,300,Dine-out
14201,,Yes,No,3.9,37,Wilson Garden,Quick Bites,,North Indian,250,Dine-out
